,ret_vwra11,ret_divo11,ret_b5p211,ret_cdib11,ret_gold11
ret_vwra11,1.0,-0.040731663865051275,-0.20179641926241376,-0.16459117787622185,0.2623874208158826
ret_divo11,-0.040731663865051275,1.0,0.40155069313465064,-0.003478526963261701,-0.4043088650769589
ret_b5p211,-0.20179641926241376,0.40155069313465064,1.0,0.2118060779581339,-0.18366380580606276
ret_cdib11,-0.16459117787622185,-0.003478526963261701,0.2118060779581339,1.0,0.001691339064292841
ret_gold11,0.2623874208158826,-0.4043088650769589,-0.18366380580606276,0.001691339064292841,1.0
