cagr_nominal,volatilidade_nominal,drawdown_maximo_nominal,tempo_recuperacao_nominal,ulcer_index_nominal,sharpe_nominal,sortino_nominal,calmar_nominal,pior_mes_nominal,melhor_mes_nominal,var5_nominal,cvar5_nominal,skewness_nominal,curtose_nominal,cagr_real,volatilidade_real,drawdown_maximo_real,tempo_recuperacao_real,ulcer_index_real,sharpe_real,sortino_real,calmar_real,pior_mes_real,melhor_mes_real,var5_real,cvar5_real,skewness_real,curtose_real,pct_meses_positivos,pct_meses_negativos,tamanho_janela_meses,data_inicio,data_fim
0.20587295989943,0.04916326405737931,-0.013900543514814427,1,0.40127412700801085,1.1293257268026855,,14.81042519524665,-0.0139005435148145,0.0358875500189014,-0.0048710740239770985,-0.0139005435148145,-0.44357465038829674,-0.25894688120193265,0.16914410911034827,0.0427646954478633,-0.011824455954596405,1,0.34134264142035536,1.258754500021521,,14.304599700808945,-0.0118244559545965,0.0307037667226803,-0.004488259401238135,-0.0118244559545965,-0.32309990021509444,-0.4167637370317556,0.9166666666666666,0.08333333333333333,12,2006-01-01,2006-12-01
0.17129926735222423,0.04470283887427445,-0.013900543514814586,1,0.4012741270080154,0.5573944359026438,,12.323206439349729,-0.0139005435148145,0.0338977518468845,-0.0048710740239770985,-0.0139005435148145,-0.37785171380676386,-0.08514127381088743,0.1373183172988326,0.039965837970179635,-0.011824455954596554,1,0.34134264142035964,0.6053728951825881,,11.61307698435398,-0.0118244559545965,0.0307037667226803,-0.004488259401238135,-0.0118244559545965,-0.12808796276234266,-0.32629063656310997,0.9166666666666666,0.08333333333333333,12,2006-02-01,2007-01-01
0.16982042411092646,0.044806250671985175,-0.013900543514814514,1,0.4012741270080133,0.5914044115148368,,12.216818999195263,-0.0139005435148145,0.0338977518468845,-0.0048710740239770985,-0.0139005435148145,-0.35142198939893676,-0.1237477307674637,0.13554331814767573,0.040183485269874974,-0.01182445595459641,1,0.34134264142035553,0.6401180425623733,,11.462964441504578,-0.0118244559545965,0.0307037667226803,-0.004488259401238135,-0.0118244559545965,-0.09833571170476842,-0.38439295615992375,0.9166666666666666,0.08333333333333333,12,2006-03-01,2007-02-01
0.16265476563526415,0.044127626838044796,-0.013900543514814475,1,0.40127412700801224,0.5326372420318929,,11.701324157714781,-0.0139005435148145,0.0338977518468845,-0.0048710740239770985,-0.0139005435148145,-0.25741678373373755,-0.008255114034597888,0.12926205337996577,0.03974348222419906,-0.011824455954596509,1,0.34134264142035836,0.5744075550564134,,10.93175482037445,-0.0118244559545965,0.0307037667226803,-0.004488259401238135,-0.0118244559545965,0.016222178512000907,-0.2797986010446287,0.9166666666666666,0.08333333333333333,12,2006-04-01,2007-03-01
0.18864258246196486,0.04975818624612199,-0.013900543514814512,1,0.40127412700801324,1.0263558472546024,,13.570878164650104,-0.0139005435148145,0.0356769959555481,-0.0048710740239770985,-0.0139005435148145,-0.2056953456141616,-0.5018078737084917,0.15404231410753622,0.045869775401956636,-0.011824455954596491,1,0.34134264142035786,1.0809518197055292,,13.027433541046404,-0.0118244559545965,0.0330941435489835,-0.004488259401238135,-0.0118244559545965,0.058084385276003916,-0.7490282643511432,0.9166666666666666,0.08333333333333333,12,2006-05-01,2007-04-01
0.2022358508740616,0.04801146396937189,0.0,1,0.0,1.4076467993755077,,,-0.0139005435148145,0.0356769959555481,-0.003244407516970733,-0.0139005435148145,-0.3824500250086264,-0.09618726998703098,0.16514711898638024,0.04443571767105353,0.0,1,0.0,1.4740001856970433,,,-0.0118244559545965,0.0330941435489835,-0.004342966495727029,-0.0118244559545965,-0.07938114358995889,-0.494813279529811,0.9166666666666666,0.08333333333333333,12,2006-06-01,2007-05-01
0.23483678038173283,0.03607905221644944,0.0,0,0.0,2.8638249206800173,,,0.0054742492085378,0.0356769959555481,0.00586655062510629,0.0054742492085378,0.5631701752284365,-1.0427937831215912,0.19089506141760726,0.035689301548665994,0.0,0,0.0,2.7920775264265294,,,0.0017782521524389,0.0330941435489835,0.003495233229974635,0.0017782521524389,0.5962221503336064,-0.9102451933628175,1.0,0.0,12,2006-07-01,2007-06-01
0.20118068042865844,0.04535805504796898,-0.009729413455495437,1,0.2808639738793729,1.5852717452702207,,20.677575410779376,-0.0097294134554954,0.0356769959555481,-0.0013673989902771386,-0.0097294134554954,-0.037746767275758014,-0.5167051165353196,0.15785667239059653,0.044540124553135434,-0.012101660328287973,1,0.34934484240892383,1.5561561734064433,,13.044216091704548,-0.012101660328288,0.0330941435489835,-0.004467708463888204,-0.012101660328288,0.024771233547763477,-0.463391159763201,0.9166666666666666,0.08333333333333333,12,2006-08-01,2007-07-01
0.22143447244860237,0.044441397944972545,-0.009729413455495344,1,0.2808639738793702,2.138962956171569,,22.759282814066484,-0.0097294134554954,0.0356769959555481,-0.0009750975737086486,-0.0097294134554954,-0.3266607757004596,-0.2626262209915966,0.17245660253859896,0.044045661300201724,-0.012101660328288005,1,0.3493448424089247,2.071640743380956,,14.250656344689855,-0.012101660328288,0.0330941435489835,-0.004467708463888204,-0.012101660328288,-0.2098179363682184,-0.32833816857887,0.9166666666666666,0.08333333333333333,12,2006-09-01,2007-08-01
0.22213727360830093,0.04435695288290661,-0.009729413455495368,1,0.2808639738793709,2.2217032159130157,,22.83151750353803,-0.0097294134554954,0.0356769959555481,-0.0009750975737086486,-0.0097294134554954,-0.33765366843241756,-0.23822995571569727,0.17348248676424483,0.043948785705426215,-0.012101660328287953,1,0.3493448424089232,2.1530667334300815,,14.33542853278776,-0.012101660328288,0.0330941435489835,-0.004467708463888204,-0.012101660328288,-0.22699097820294892,-0.30058169401953094,0.9166666666666666,0.08333333333333333,12,2006-10-01,2007-09-01
0.19006021220992286,0.04548446750947785,-0.009729413455495387,1,0.28086397387937145,1.502940088921542,,19.53460124593355,-0.0097294134554954,0.0356769959555481,-0.004047687576269519,-0.0097294134554954,-0.004293465617272319,-0.5033998674014795,0.14302241587644815,0.044918231566547714,-0.012101660328287972,1,0.35610353613182166,1.4617326437213065,2.760637096754268,11.818412680293896,-0.012101660328288,0.0330941435489835,-0.006761327308197745,-0.012101660328288,0.1004947266318669,-0.4691157946529718,0.9166666666666666,0.08333333333333333,12,2006-11-01,2007-10-01
0.14886322432460863,0.043005004274711205,-0.009729413455495339,1,0.28613220163177294,0.6781098012271265,1.519291512090835,15.300328740837728,-0.0097294134554954,0.0356769959555481,-0.00541953552698001,-0.0097294134554954,0.18543465971327572,-0.3252851454865122,0.10268498574551632,0.042415285600001185,-0.012101660328288012,1,0.4251932725339906,0.6599024711589031,1.6358020381493146,8.48519814305868,-0.012101660328288,0.0330941435489835,-0.008564204063787929,-0.012101660328288,0.28136081559089077,-0.19560695339300294,0.8333333333333334,0.16666666666666666,12,2006-12-01,2007-11-01
0.1124323332760524,0.04395467127136218,-0.009729413455495337,1,0.3856347754178411,-0.1300523389047965,-0.4140426020661945,11.555921000823407,-0.0097294134554954,0.0356769959555481,-0.008270139275987255,-0.0097294134554954,0.4256493434786717,-0.13097806241347776,0.06496005049514286,0.04562229432294768,-0.0223041422899451,27,0.7715903198912796,-0.11995153081069419,-0.28420477629564356,2.912465749666034,-0.0143714853050513,0.0330941435489835,-0.013123081567831485,-0.0143714853050513,0.37236200759902793,-0.09601971672974985,0.75,0.25,12,2007-01-01,2007-12-01
0.08657243837213069,0.051207474921366056,-0.026004570552366598,3,0.8439464367022412,-0.5820708780318435,-1.3491691175043392,3.329123939878022,-0.0172025755955305,0.0356769959555481,-0.013092336418511194,-0.0172025755955305,0.15731738062484674,-0.4923820297924757,0.039170870542099,0.05346291199444025,-0.044283635854042214,26,1.4931684294795549,-0.5331935682030997,-1.049137617231668,0.8845450421280953,-0.0224809110018909,0.0330941435489835,-0.01802072686862912,-0.0224809110018909,0.08950869614436333,-0.4772396136527153,0.6666666666666666,0.3333333333333333,12,2007-02-01,2008-01-01
0.08607063089485933,0.051186946615178586,-0.02600457055236635,3,0.9817914050200685,-0.5769725341082848,-1.3368156555281923,3.3098270445011106,-0.0172025755955305,0.0356769959555481,-0.013092336418511194,-0.0172025755955305,0.1655705880791208,-0.4866174564406047,0.038174326960843885,0.05344044034487106,-0.04428363585404227,26,1.8968091599391657,-0.5282707330338211,-1.0390143027072583,0.8620413889831786,-0.0224809110018909,0.0330941435489835,-0.01802072686862912,-0.0224809110018909,0.10583641246071179,-0.47088004119735105,0.6666666666666666,0.3333333333333333,12,2007-03-01,2008-02-01
0.07725415460199248,0.050570052967700944,-0.026004570552366397,3,1.035893303960242,-0.7125069353966491,-1.6309463075229496,2.970791401704667,-0.0172025755955305,0.0356769959555481,-0.013092336418511194,-0.0172025755955305,0.3073498004149685,-0.32191862691653395,0.02861790171488887,0.05286116643273465,-0.04428363585404221,26,2.210794353172097,-0.6508511299938143,-1.2662321970645156,0.6462410134798503,-0.0224809110018909,0.0330941435489835,-0.01802072686862912,-0.0224809110018909,0.25807465291085996,-0.3254688869135549,0.6666666666666666,0.3333333333333333,12,2007-04-01,2008-03-01
