tamanho_janela_meses,indicador,n_janelas,n_nao_recuperado,mediana,min,max,p10,p25,p75,p90
12,cagr_nominal,235,,0.13784681877788874,-0.11558761550293573,0.3120129510635883,0.034245652104497995,0.10107354824706782,0.17813151617390355,0.20578585624958548
12,volatilidade_nominal,235,,0.05414239259249655,0.030665572586040933,0.11867846284652668,0.040064876458745576,0.04496893635717847,0.06669166430905671,0.09697656197471466
12,drawdown_maximo_nominal,235,,-0.016526711886845694,-0.1477464069830749,0.0,-0.05762895158953387,-0.028444139852784253,-0.011049287429180415,-0.008653273994600499
12,tempo_recuperacao_nominal,235,0.0,1.0,0.0,14.0,1.0,1.0,3.0,5.0
12,ulcer_index_nominal,235,,0.5921900373784681,0.0,9.022041083890082,0.26279933448228077,0.3976870530419714,1.1812669908642257,1.9913846794589125
12,sharpe_nominal,235,,0.5914044115148368,-2.550638513135182,4.320519884045472,-1.2607135801123373,-0.18632139053027552,1.5423552556266917,2.14160613724009
12,sortino_nominal,235,,1.4470208516969394,-9.129893837806659,32.492324007771025,-2.6563574817337408,-1.1125046183893652,3.4546458999980807,7.089163587344894
12,calmar_nominal,235,,7.618082579966841,-0.7823379117177243,72.66793351323184,0.793441402400782,3.408376080294841,13.328628554966212,21.500100581199046
12,pior_mes_nominal,235,,-0.0165267118868457,-0.0731842782636079,0.0054742492085378,-0.048603092681002505,-0.0194256609052902,-0.0103102551328306,-0.0079399039963342
12,melhor_mes_nominal,235,,0.0345405294819075,0.0153738884845828,0.0705571412664368,0.02704050643660514,0.0324386834768117,0.0373008050154486,0.056250731890460114
12,var5_nominal,235,,-0.01121211418879925,-0.05783896193240662,0.00586655062510629,-0.030106171040108265,-0.0160486718068484,-0.006538533706122359,-0.004039973888569595
12,cvar5_nominal,235,,-0.0165267118868457,-0.0731842782636079,0.0054742492085378,-0.048603092681002505,-0.0194256609052902,-0.0103102551328306,-0.0079399039963342
12,skewness_nominal,235,,-0.15111164013482192,-1.5782922396893153,1.349420705163298,-0.8312334897000684,-0.49467093663888406,0.20157703957744513,0.49137324153361167
12,curtose_nominal,235,,-0.5033998674014795,-1.6645328032454432,2.5521268582379077,-1.4433777589334293,-1.2080629445218722,0.07999306343089652,0.6797367419456967
12,cagr_real,235,,0.07038898491082257,-0.16885979824936603,0.23658755826438838,-0.038077354501681655,0.03135004796280716,0.1324968619322051,0.15875317552410032
12,volatilidade_real,235,,0.05517611837198537,0.03229645731536937,0.12086788731934146,0.04062302274550909,0.04576622803604361,0.06880541898345204,0.09446046840157006
12,drawdown_maximo_real,235,,-0.024825931150893734,-0.16674282982328814,0.0,-0.07702170632264714,-0.04506339186828199,-0.021017618671098835,-0.011421799270702002
12,tempo_recuperacao_real,235,4.0,2.0,0.0,31.0,1.0,1.0,9.0,20.0
12,ulcer_index_real,235,,1.1287378924671105,0.0,11.287088620533755,0.3454854970889574,0.6702191781439331,1.9967513168899749,3.545375780913981
12,sharpe_real,235,,0.5689872829032578,-2.2690297652337317,4.1569376476959805,-1.1515193452054187,-0.167976157240879,1.4561643624547267,1.9884561679056423
12,sortino_real,235,,1.2014623533011393,-4.274923828079341,92.3033124776165,-1.88800150828677,-0.5606098376584203,3.0872062650576937,6.9644165716493305
12,calmar_real,235,,2.3871478474586505,-1.2232399486336059,25.57849295525467,-0.4615139581183367,0.8282322314326861,5.923207126240712,12.101050463198849
12,pior_mes_real,235,,-0.0210064652056396,-0.0773372360660121,0.0017782521524389,-0.0514797480893852,-0.027618726329565,-0.014403450213652,-0.011421799270702
12,melhor_mes_real,235,,0.0316275750618615,0.0080157941005116,0.0642582105176887,0.0238117979745711,0.027679351927373,0.0357623701507316,0.052986844652742955
12,var5_real,235,,-0.01608696048629289,-0.06356555952550902,0.003495233229974635,-0.03304559644569263,-0.023826598520974615,-0.011199834113550357,-0.007549602474131865
12,cvar5_real,235,,-0.0210064652056396,-0.0773372360660121,0.0017782521524389,-0.0514797480893852,-0.027618726329565,-0.014403450213652,-0.011421799270702
12,skewness_real,235,,-0.03933401208657954,-1.5394529669067125,0.9167329632523642,-0.7350246812957766,-0.4103317495858871,0.2920683705650712,0.5255252244232185
12,curtose_real,235,,-0.5072629419577805,-1.595654181834345,2.25821484393842,-1.443095757587309,-1.1622501164016699,-0.07134781813439894,0.5491696696726657
12,pct_meses_positivos,235,,0.75,0.3333333333333333,1.0,0.5,0.6666666666666666,0.8333333333333334,0.9166666666666666
12,pct_meses_negativos,235,,0.25,0.0,0.6666666666666666,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.5
24,cagr_nominal,223,,0.13628266342049988,0.007137670661300888,0.22617088522762296,0.05056996438579686,0.10536319234073133,0.1609558916183247,0.17423628565471067
24,volatilidade_nominal,223,,0.05676761064823698,0.038134271730043495,0.09575207451385664,0.04620388669616007,0.05096338101663936,0.07697824825578828,0.08609660106570532
24,drawdown_maximo_nominal,223,,-0.030839595990960377,-0.14774640698307506,-0.008653273994600518,-0.07899668638996855,-0.04765069533773318,-0.017641239134069342,-0.015890005007571723
24,tempo_recuperacao_nominal,223,0.0,2.0,1.0,14.0,1.0,1.0,3.0,10.0
24,ulcer_index_nominal,223,,0.9941845665960128,0.2386970963971403,6.516787314296026,0.44570229096551367,0.5030437848974705,1.4564173784575405,2.5752340237169946
