Data,ret_vwra11,ret_divo11,ret_b5p211,ret_cdib11,ret_gold11,ret_carteira_nominal,ret_ipca,ret_carteira_real,cdi_nominal,cdi_real
2006-01-01,-0.0065321526854541,0.121304285155271,0.0296333487731836,0.0141750858552332,0.0204848998289675,0.0358875500189014,0.005900449633194,0.0298112008963138,0.0143,0.008350279960475993
2006-02-01,-0.0373715667965053,0.0510677213068953,0.0310889201112476,0.0112750858552332,-0.0280530504731545,0.0105987440360304,0.0041013817657116,0.0064708229550418,0.011399999999999999,0.007268806085550583
2006-03-01,0.0390719957694143,0.0279020889145864,0.0037326260460781,0.0140750858552332,0.0204779325000712,0.020522717849938,0.0042994040971251,0.0161538617733203,0.014199999999999999,0.00985821146809851
2006-04-01,-0.0070619790491712,0.0458629465122177,0.0068085753159023,0.0106750858552332,0.0544470635796034,0.0130335331857949,0.0020996722178372,0.010910951546126,0.0108,0.008682098221733936
2006-05-01,0.0582218835558088,-0.0964283231977628,-0.0177510156146164,0.0126750858552332,0.2160485053429688,0.0025166737412535,0.0010010747973598,0.0015140832333278,0.0128,0.011787125408460275
2006-06-01,-0.0589578722760841,0.0200435061880823,0.0192114546924848,0.0116750858552332,-0.1698043847872282,-0.0139005435148145,-0.0021009299134432,-0.0118244559545965,0.0118,0.01393019627950709
2006-07-01,0.0132745971979815,0.0027620612245669,0.0236170730998916,0.0115750858552332,0.0691356656028219,0.0180171582171672,0.0018994790999034,0.0160871219653131,0.011699999999999999,0.009781940308923431
2006-08-01,0.0082745660973753,-0.0209632517800548,0.01881646036119,0.0123750858552332,-0.0192161740380283,0.0054742492085378,0.0005001395738344,0.0049716231292302,0.0125,0.011993861821225638
2006-09-01,0.0288169963203419,0.0044876949377472,0.0066284467502137,0.0103750858552332,-0.0401239955051524,0.0107065711012415,0.0021003111715627,0.0085882219910871,0.0105,0.008382083844098442
2006-10-01,0.0220027177563852,0.0573075388365127,0.0267516695285474,0.0107750858552332,-0.0346079730824823,0.0275713465442746,0.0032985433044985,0.0241930015764104,0.0109,0.007576465396296639
2006-11-01,0.0397148298944283,0.0534866882699955,0.0165674085430356,0.0100750858552332,0.0831049502916194,0.0338977518468845,0.0030988390916237,0.0307037667226803,0.0102,0.007079223533751566
2006-12-01,0.0091201433623073,0.0648627528070777,0.024449943429196,0.0096750858552332,-0.0106277942984533,0.0254409355196251,0.0047991208656092,0.0205432252331525,0.0098,0.004976993938930363
2007-01-01,0.0028796912462782,-0.0035484784522155,0.0143888257810089,0.0106750858552332,-0.0051194355443202,0.0061875245113896,0.0044014454790537,0.0017782521524389,0.0108,0.006370515046296488
2007-02-01,-0.0090478490912053,0.0243816599807831,0.0105572044074671,0.0085750858552332,0.0501836514174391,0.0093227958954154,0.0044011939571149,0.0049000359297766,0.0087,0.004279969068882394
2007-03-01,-0.0128036075102159,0.0722333701775925,0.0137493478431796,0.0103750858552332,-0.0470502501178921,0.0142715727065926,0.0036996042636423,0.0105330005093571,0.0105,0.006775329697720434
