Data,ret_vwra11,ret_divo11,ret_b5p211,ret_cdib11,ret_gold11,ret_carteira_nominal,ret_ipca,ret_carteira_real
2006-01-01,-0.006532152685454151,0.12130428515527103,0.029633348773183688,0.014175085855233215,0.020484899828967507,0.035887550018901475,0.005900449633194027,0.02981120089631384
2006-02-01,-0.03737156679650533,0.0510677213068953,0.031088920111247642,0.011275085855233215,-0.02805305047315454,0.010598744036030453,0.00410138176571162,0.006470822955041866
2006-03-01,0.039071995769414336,0.027902088914586454,0.003732626046078158,0.014075085855233215,0.02047793250007124,0.020522717849938078,0.004299404097125148,0.016153861773320344
2006-04-01,-0.007061979049171274,0.045862946512217784,0.006808575315902399,0.010675085855233215,0.054447063579603494,0.013033533185794971,0.002099672217837245,0.01091095154612609
2006-05-01,0.05822188355580882,-0.09642832319776284,-0.01775101561461645,0.012675085855233215,0.21604850534296882,0.0025166737412535972,0.001001074797359891,0.001514083233327801
2006-06-01,-0.05895787227608418,0.02004350618808237,0.019211454692484864,0.011675085855233214,-0.16980438478722826,-0.013900543514814585,-0.002100929913443239,-0.01182445595459658
2006-07-01,0.01327459719798152,0.002762061224566903,0.023617073099891694,0.011575085855233215,0.06913566560282192,0.01801715821716727,0.0018994790999034006,0.016087121965313145
2006-08-01,0.008274566097375313,-0.02096325178005487,0.01881646036119,0.012375085855233215,-0.019216174038028333,0.005474249208537865,0.000500139573834435,0.004971623129230274
2006-09-01,0.02881699632034196,0.004487694937747255,0.00662844675021379,0.010375085855233215,-0.04012399550515244,0.010706571101241593,0.00210031117156273,0.008588221991087108
2006-10-01,0.022002717756385293,0.05730753883651274,0.02675166952854746,0.010775085855233214,-0.03460797308248231,0.027571346544274667,0.0032985433044985246,0.024193001576410467
2006-11-01,0.039714829894428316,0.053486688269995586,0.016567408543035622,0.010075085855233215,0.08310495029161946,0.0338977518468845,0.003098839091623784,0.03070376672268038
2006-12-01,0.009120143362307376,0.06486275280707776,0.02444994342919604,0.009675085855233214,-0.010627794298453397,0.025440935519625178,0.0047991208656092965,0.02054322523315255
2007-01-01,0.002879691246278293,-0.003548478452215509,0.014388825781008974,0.010675085855233215,-0.005119435544320261,0.006187524511389624,0.004401445479053745,0.001778252152438986
